"","logFC","logCPM","PValue","FDR"
"Copg2",-1.11851267876585,4.5325521608604,0.00294553736337414,0.274175509217072
"Hmbox1",-2.03888350251322,4.03985573072596,0.00295341800220299,0.274175509217072
"Ovca2",0.75329586473675,3.99625381045899,0.00295694318204741,0.274175509217072
"Tnfrsf10b",-0.915015328514785,3.35930391233808,0.00296129613410845,0.274175509217072
"Gm20554",-1.83283763974577,2.70597237424002,0.00296193563705414,0.274175509217072
"Lnpep",-2.14907822103581,5.14449430572103,0.00296729213055647,0.274175509217072
"Abtb1",1.0089421140872,4.96718551806157,0.00298626991365664,0.274175509217072
"Abra",-3.06026686105783,1.59509170399243,0.00300597301918121,0.274175509217072
"Nup98",-1.67611815235573,4.62793602788781,0.00304699772165822,0.274175509217072
"Klf3",-1.94666693433469,5.50204596928805,0.00306152065748678,0.274175509217072
"Pelo",0.987891939442298,4.77801102400381,0.00306165495630902,0.274175509217072
"Xirp1",-3.34307169798668,1.34453810073485,0.00306290822688779,0.274175509217072
"Zfp212",0.690639090386261,4.85844013081087,0.00306562238821185,0.274175509217072
"BC018473",9.4062199698293,4.78451427761308,0.00306880229876602,0.274175509217072
"Rbm26",-0.981888508041635,4.79804678994549,0.00307319567190202,0.274175509217072
"F5",-1.49038712687205,2.03953875168788,0.00309209584604497,0.274267114205549
"Fam96b",-1.03266500729454,4.06699171719039,0.00316217715574751,0.274558953213303
"Klhl11",-2.17680810110711,1.77326676039598,0.00316648145416475,0.274558953213303
"Nrip1",-2.41856164354997,3.33437212681157,0.00316928873546504,0.274558953213303
"Ptar1",-2.15602814643189,1.95616479802772,0.00319501195018684,0.274558953213303
"Hist3h2ba",2.0616758173811,-0.68748590249397,0.00319785985210521,0.274558953213303
"Cnot6",-1.58006439703863,5.19986295647218,0.00320571512218158,0.274558953213303
"Spopl",-0.696699796387791,4.10683059620558,0.00324995315244844,0.274558953213303
"Pex6",1.05734914580124,6.02204322873198,0.00328319700323727,0.274558953213303
"Senp5",-0.641959320997027,5.44024923787357,0.00331990231270787,0.274558953213303
"Trim11",0.673680050755073,5.51340649505778,0.00337938511697485,0.274558953213303
"Sp4",-1.33772724541161,4.00317130104,0.00339136554110425,0.274558953213303
"Dot1l",-1.1034428009104,5.23237371054278,0.00342379018106859,0.274558953213303
"Mospd2",-2.09077451115136,4.59236677494897,0.00342695810523778,0.274558953213303
"Srfbp1",-0.872996745700494,3.32566516695868,0.00345604713844949,0.274558953213303
"Shprh",-0.769719490250947,4.93658011274567,0.00346769783555707,0.274558953213303
"Gm15446",-1.81497144553132,0.232930983730916,0.00350252861429141,0.274558953213303
"Samd5",-2.38474967248077,2.54990971424913,0.00351521897522612,0.274558953213303
"Mettl4",-1.22435659996189,2.41243238107198,0.00352927673108197,0.274558953213303
"2610005L07Rik",-1.91638077173943,2.01398787334917,0.00354772093155445,0.274558953213303
"Ttc17",-1.20511464619558,4.98252169033722,0.00356036622705053,0.274558953213303
"Fam109a",0.910188203202611,4.35372692657707,0.00356480236958244,0.274558953213303
"Acaa1a",1.07425447202944,6.92612970824181,0.00358323052357349,0.274558953213303
"Tfap4",0.970670343242307,2.99359391426339,0.00359594040594456,0.274558953213303
"Sv2c",-2.90751100036199,-0.512623872292796,0.0036052436880073,0.274558953213303
"Cnot1",-0.918965713602926,6.71810003719929,0.00361588137400334,0.274558953213303
"Ubb",1.64398780297475,1.08032856605982,0.00362350920202881,0.274558953213303
"Mlycd",0.93674405933683,5.24323221053539,0.00363643492784141,0.274558953213303
"Atm",-0.790087296916475,4.90571822506509,0.00365285263634587,0.274558953213303
"Homer1",-0.955597650010347,3.09662630983161,0.00367908925507535,0.274558953213303
"L3hypdh",0.997663808857005,2.49838604734476,0.0036976314649542,0.274558953213303
"Smug1",-0.752358162830091,3.83663038853732,0.0037000360827392,0.274558953213303
"Ahcyl2",-1.25888473293685,6.12017579008882,0.00370853145481878,0.274558953213303
"Cbx4",0.593915799467348,5.22409999266162,0.00372208744398495,0.274558953213303
"Hdac4",-1.71885287544252,2.94132723844874,0.00372296190305615,0.274558953213303
"Hdhd3",1.22570209379129,2.51948451858695,0.00375958749861952,0.274558953213303
"Usp9x",-1.79638383536626,6.19420839368585,0.00379082504224753,0.274558953213303
"Rps19-ps3",1.59508177402179,1.23901388712554,0.00380140890129436,0.274558953213303
"Fam110a",0.752292419342371,4.96579002754372,0.00380159622801299,0.274558953213303
"Map3k2",-0.731709802435825,5.55684071273177,0.00382618195970202,0.274558953213303
